comment,labels
"Я честно хз, но у меня есть подозрение, что труба неплотно проходит через перекрытия, поэтому запах сигарет просачивается.
",0
"Ну зашибись. Мне гланды удалили, остаётся ползти в сторону кладбища
",0
"Это когда спрос равен предложению. Если повышать спрос, не повышая предложения (а повышать его дорого), то ты будешь терпеть убытки, так как покупатели просто уйдут в другие кофейни, даже если цена там чуть выше. Опять же возвращаемся к тому, что либертарианцы живут в 19 веке где работают законы спроса и предложения. В реальном мире всё уже не так и мегакорпорации могут САМИ создавать спрос на свой товар. Изи пример - кока кола и фейсбук. Производство шипучки для колы встаёт в копейки, это маркетинговкая компания. 80 всех расходов идут на маркетинг и продвижение идеи что людям НУЖНА шипучка, когда довольно большое количество людей цепанулось на крючок, то шипучка начала замещать простую воду в бутылках. То есть потребность людей в воде КОНВЕРТИРОВАЛАСЬ в потребность людей в шипучке. Сейчас зачастую люди покупают колу не потому что хотят именно колу, а потому что хотят пить и всё заставлено колой. Фейсбук, о фейсбук, Цекерберг реально гений. Его идея заключается в том, чтобы нищим, но густонаселённым странам проводить интернет с фейсбуком. Если конкретно, то речь про Индию. На 2018 год количество юзеров из Индии в фейсбуке превышает количество юзеров из США. Почему так? Потому что Цукерберг берёт и ведёт линию нищим индусам, но ограничивает трафик ТОЛЬКО фейсбуком. То есть для индусов фейсбук интернет. Цукерберг КОНВЕРТИРОВАЛИ потребность огромного количества людей в интернете в потребность в фейсбук таким образом создав себе новых клиентов которые, по итогу, принесут куда больше денег чем на них было потрачено. В современном мире не спрос рождает предложение, всё куда сложнее и есть много зависимостей спросов и предложений. Однако тот факт, что многомиллиардные компании могут рождать спрос на свой товар сами говорит о бессмысленности всей той хуйни что ты предлагаешь.
",0
"Ужас, только вчера думала о том, а что, если вдруг случится сердечный приступ, а у меня двое деток дома. Страшно как-то.
",0
"Кроме того, в комплектацию входят прибор ночного видения и тепловизор. А как же бутылки?
",0
"Киногероя тоже недавно пересмотрел в третий раз. ляпота) А без компромиссов даже не смотрел, спасибо за наводку",0
"Не понимаю, о чём тред. У нас свой региональный производитель молока, всю область снабжает, срок хранения 5 суток. Разве не у всех так?
",0
"Модератор, объяснись.
",1
"тут чуть ниже на пару постов есть про удар ферзем в туза
",1
"нет, совсем на юг) просто округ на поселки разбит мелкие и покрупнее, всего 140к набирается)
",0
"свинорылая пидорашка, плиз
",1
"Прислать в почтовый ящик жесть конечно. А мне ее предложили оформить в один из походов в сбер и я согласился, не жалею, за пять лет столько раз выручала, непредвиденные расходы оплачивал, до зарплаты дотянуть также за счет кредитки, телек и диван покупал, в льготный период гасил задолженость. А вот на работе была коллега, она в какойто период сняла все деньги с кредитки и потом матерясь два года, пока работала у нас, выплачивала накопившуюся задолжность, я так понял она имела даже две пустые кредитки когда устроилась.
",0
"А мне понравилась, если бы не фпс на старом железе, новое в ремонте.
",0
"Угарище, на первом ОП-пике фотошоперу даже фамилию предшественника менять не пришлось, чтобы вместо него подставить главного лакея Маэстро.
",1
"заткнись гавно чушка жопеч анимегниль репорт
",1
"Ник прочитал Секелёк . Сижу туплю
",1
"Стёб дураков, выдаваемый за искусство
",1
"Так у меня цены в тенге . Разделите сумму на 5 выйдет цена в рублях.
",0
"По моему опыту в s, вайпы идут, когда тред достиг точки кипения - это значит тред годный, градус обоготи и хейтерства зашкаливает Невайпер
",0
"Фиговый регистратор, можно и 24 часа вместить на 32гб в приличном качестве
",0
"это потому что спрос превышает предложение. Вот односторонней связи достаточно уже, поэтому и не столь дорого.",0
"Зачем хорькам творог? Дайте лучше перепелиное яйцо, полезнее и им вкуснее... п.с.Бош снимают с производства, ищите заранее достойную альтернативу",0
"Русачки ебаные, какого хуя вы отдали Польше мою Белостокскую область, половину Беловежской Пущи и мою столицу Вильню жемайтам? А, пидарасы? Какие вы щедрые чужими территориями разбрасываться!",1
"Так это же католики. Католики в Бульбастане это как правило в большинстве отбитые змагары и адепты утопической польши и они против любого действия властей, даже если гражданам будут выдавать каждый месяц по 10к баксов то они будут против
",1
"просто не либераст бездомный.
",1
"В декабре17, числа 28 взял в рассрочку мтсбанка s8 плюс колонка в подарок(кому-то давали докстанцию) получилось около 36.6тыр, кредит закрыл после НГ, - лень, бухал и т.п., переплатил рублей 100 по кредиту. Перед НГ подарил жене S9 обошелся в 36тыр, акция Ситилинк кредит, кредит опять закрыл после НГ, за 40 с тыщь тоже б не купил. Доче на НГ брал хонор, без акций, но и при этом самс за теже деньги просто гогно, джей серией наелись
",0
"Старый жырик это клоун у пидорасов.
",1
"Ну в Сердцебиении еще можно найти искру радости А печально пить вино я предпочитаю под Пароль (А что за фильм, кстати?)
",0
"могут, только стоить это будет немного дороже
",0
"На крупном ювелирном до 2010 примерно была такая система
",0
"Вроде бы, что они предлагают, совершенно всем похуй: решения-то другие люди принимают.
",0
"Типичный залупинец и фонат даунбасса. Отвратительное зрелище. Где тут те дети - борцуны с хохлами? Полюбуйтесь.
",1
Да ладно! Чушью попахивает.,1
"pЕНo, штaт Невaдa. Бoльшинcтву пoдpocткoв из Невaды будет paзpешенo вoдить мaшину пo зaкoнoпpoекту, кoтopый будет paccмoтpен в зaкoнoдaтельнoм opгaне штaтa Невaдa. Зaкoнoпpoект accaмблеи 213 нaпpaвлен нa pacшиpение cущеcтвующегo гocудapcтвеннoгo зaкoнa, и пoзвoлит cельcким жителям в вoзpacте oт 14 лет caмocтoятельнo ездить в шкoлу в небoльших гopoдaх и oкpугaх, где не хoдят шкoльные aвтoбуcы. Этa меpa, пoддеpжaннaя депутaтoм accaмблеи aлекcиcoм Хaнcенoм, пpедocтaвит эту пpивилегию учaщимcя, незaвиcимo oт тoгo, где нaхoдитcя их шкoлa. Этo oзнaчaет, чтo 14-летние дети мoгут вcкopе ездить в шкoлы, кoтopые не пpедocтaвляют aвтoбуcы ученикaм, дaже в тaких кpупных oкpугaх, кaк Уoшo и Клapк. Вoдители штaтa Невaдa уже мoгут пoлучить пpaвa учaщегocя в вoзpacте 15,5 лет, пpи уcлoвии, чтo oни везут c coбoй пaccaжиpa, кoтopoму иcпoлнилcя 21 гoд и у негo oпыт вoждения не менее гoдa. Невaдa - oдин из немнoгих штaтoв, ктo paзpешaет вoдителям пoлучaть paзpешения для учaщихcя в вoзpacте дo 15 лет. Южнaя Дaкoтa выдaет учaщимcя в вoзpacте 14 лет oгpaниченные пpaвa в вoзpacте 14,5 лет.
",0
"они чернявые чурки, а ариец это в первую очередь белый господин. thread
",1
"Такая же ситуация ,один в один. Сбросил телефон на заводские, подключил к вифи, оставил на ночь. Утром минус 2 гига. Такой же разговор с поддержкой, неисправностей не обнаружено . Вообщем позиция yota такая : отключаем платные подписки, просто пиздим трафик. Также разочарован в yota. Прямо обидно.
",0
